street_address,postal_code,latitude,longitude,link,page,num,address_locality,address_region,scrape_generated,link_new,is_same,property
510 Agnew Rd,15227,40.396313,-79.97583,https://www.trulia.com/p/pa/pittsburgh/510-agnew-rd-pittsburgh-pa-15227--2014214939,33,23,Pittsburgh,PA,510 agnew rd pittsburgh pa 15227,510 agnew rd pittsburgh pa 15227,1,0
1146 Driftwood Dr,15243,40.371475,-80.07036,https://www.trulia.com/p/pa/pittsburgh/1146-driftwood-dr-pittsburgh-pa-15243--2014306967,33,24,Pittsburgh,PA,1146 driftwood dr pittsburgh pa 15243,1146 driftwood dr pittsburgh pa 15243,1,0
352 Caryl Dr,15236,40.331913,-79.95995,https://www.trulia.com/p/pa/pittsburgh/352-caryl-dr-pittsburgh-pa-15236--2014259150,33,25,Pittsburgh,PA,352 caryl dr pittsburgh pa 15236,352 caryl dr pittsburgh pa 15236,1,0
910 Maple Ave,15234,40.369816,-80.019455,https://www.trulia.com/p/pa/pittsburgh/910-maple-ave-pittsburgh-pa-15234--2014237990,33,26,Pittsburgh,PA,910 maple ave pittsburgh pa 15234,910 maple ave pittsburgh pa 15234,1,0
227 S Home Ave #208,15202,40.49649,-80.06329,https://www.trulia.com/p/pa/pittsburgh/227-s-home-ave-208-pittsburgh-pa-15202--2089351635,33,27,Pittsburgh,PA,227 s home ave 208 pittsburgh pa 15202,227 s home ave 208 pittsburgh pa 15202,1,0
5115 Dearborn St,15224,40.465866,-79.94197,https://www.trulia.com/p/pa/pittsburgh/5115-dearborn-st-pittsburgh-pa-15224--2014197334,33,28,Pittsburgh,PA,5115 dearborn st pittsburgh pa 15224,5115 dearborn st pittsburgh pa 15224,1,0
3422 Villawood Ave,15227,40.378048,-79.96343,https://www.trulia.com/p/pa/pittsburgh/3422-villawood-ave-pittsburgh-pa-15227--2014211840,33,29,Pittsburgh,PA,3422 villawood ave pittsburgh pa 15227,3422 villawood ave pittsburgh pa 15227,1,0
1503 Williamsburg Pl,15235,40.447735,-79.85091,https://www.trulia.com/p/pa/pittsburgh/1503-williamsburg-pl-pittsburgh-pa-15235--2014242662,34,0,Pittsburgh,PA,1503 williamsburg pl pittsburgh pa 15235,1503 williamsburg pl pittsburgh pa 15235,1,0
200 Lexington Ave,15215,40.490154,-79.89785,https://www.trulia.com/p/pa/pittsburgh/200-lexington-ave-pittsburgh-pa-15215--2014133686,34,1,Pittsburgh,PA,200 lexington ave pittsburgh pa 15215,200 lexington ave pittsburgh pa 15215,1,0
1917 Sidney St,15203,40.4297,-79.97836,https://www.trulia.com/p/pa/pittsburgh/1917-sidney-st-pittsburgh-pa-15203--2014045085,34,2,Pittsburgh,PA,1917 sidney st pittsburgh pa 15203,1917 sidney st pittsburgh pa 15203,1,0
225 Winifred Dr,15236,40.330963,-79.95356,https://www.trulia.com/p/pa/pittsburgh/225-winifred-dr-pittsburgh-pa-15236--2014257718,34,3,Pittsburgh,PA,225 winifred dr pittsburgh pa 15236,225 winifred dr pittsburgh pa 15236,1,0
516 Goldsmith Rd,15237,40.536114,-79.99481,https://www.trulia.com/p/pa/pittsburgh/516-goldsmith-rd-pittsburgh-pa-15237--2014278830,34,4,Pittsburgh,PA,516 goldsmith rd pittsburgh pa 15237,516 goldsmith rd pittsburgh pa 15237,1,0
614 Elaine Dr,15236,40.345654,-80.003136,https://www.trulia.com/p/pa/pittsburgh/614-elaine-dr-pittsburgh-pa-15236--2014265557,34,5,Pittsburgh,PA,614 elaine dr pittsburgh pa 15236,614 elaine dr pittsburgh pa 15236,1,0
2543 Forest Brook Dr,15241,40.31153,-80.08356,https://www.trulia.com/p/pa/pittsburgh/2543-forest-brook-dr-pittsburgh-pa-15241--2014304281,34,6,Pittsburgh,PA,2543 forest brook dr pittsburgh pa 15241,2543 forest brook dr pittsburgh pa 15241,1,0
1107 Lindbergh Ave,15223,40.518185,-79.95749,https://www.trulia.com/p/pa/pittsburgh/1107-lindbergh-ave-pittsburgh-pa-15223--2014191287,34,7,Pittsburgh,PA,1107 lindbergh ave pittsburgh pa 15223,1107 lindbergh ave pittsburgh pa 15223,1,0
1000 Grandview Ave #1205,15211,40.43735,-80.01615,https://www.trulia.com/p/pa/pittsburgh/1000-grandview-ave-1205-pittsburgh-pa-15211--2014101477,34,8,Pittsburgh,PA,1000 grandview ave 1205 pittsburgh pa 15211,1000 grandview ave 1205 pittsburgh pa 15211,1,0
1146 Uptegraf St,15218,40.420685,-79.90499,https://www.trulia.com/p/pa/pittsburgh/1146-uptegraf-st-pittsburgh-pa-15218--2014155809,34,9,Pittsburgh,PA,1146 uptegraf st pittsburgh pa 15218,1146 uptegraf st pittsburgh pa 15218,1,0
1386 Meadowlark Dr,15243,40.377804,-80.078705,https://www.trulia.com/p/pa/pittsburgh/1386-meadowlark-dr-pittsburgh-pa-15243--2014307936,34,10,Pittsburgh,PA,1386 meadowlark dr pittsburgh pa 15243,1386 meadowlark dr pittsburgh pa 15243,1,0
502 Lucy Dr,15236,40.341965,-80.000114,https://www.trulia.com/p/pa/pittsburgh/502-lucy-dr-pittsburgh-pa-15236--2014262060,34,11,Pittsburgh,PA,502 lucy dr pittsburgh pa 15236,502 lucy dr pittsburgh pa 15236,1,0
162 Mary Ann Dr,15227,40.38083,-79.95558,https://www.trulia.com/p/pa/pittsburgh/162-mary-ann-dr-pittsburgh-pa-15227--2014207506,34,12,Pittsburgh,PA,162 mary ann dr pittsburgh pa 15227,162 mary ann dr pittsburgh pa 15227,1,0
5358 Overland Trl,15236,40.33956,-79.98562,https://www.trulia.com/p/pa/pittsburgh/5358-overland-trl-pittsburgh-pa-15236--2014264082,34,13,Pittsburgh,PA,5358 overland trl pittsburgh pa 15236,5358 overland trl pittsburgh pa 15236,1,0
5565 Northumberland St,15217,40.44113,-79.928566,https://www.trulia.com/p/pa/pittsburgh/5565-northumberland-st-pittsburgh-pa-15217--1119318112,34,14,Pittsburgh,PA,5565 northumberland st pittsburgh pa 15217,5565 northumberland st pittsburgh pa 15217,1,0
1711 Jane St,15203,40.42718,-79.981735,https://www.trulia.com/p/pa/pittsburgh/1711-jane-st-pittsburgh-pa-15203--2014044665,34,15,Pittsburgh,PA,1711 jane st pittsburgh pa 15203,1711 jane st pittsburgh pa 15203,1,0
1162 Marshall Ave,15212,40.465336,-80.0271,https://www.trulia.com/p/pa/pittsburgh/1162-marshall-ave-pittsburgh-pa-15212--2014108161,34,16,Pittsburgh,PA,1162 marshall ave pittsburgh pa 15212,1162 marshall ave pittsburgh pa 15212,1,0
241 Woodhaven Dr,15228,40.361195,-80.05498,https://www.trulia.com/p/pa/pittsburgh/241-woodhaven-dr-pittsburgh-pa-15228--2014218619,34,17,Pittsburgh,PA,241 woodhaven dr pittsburgh pa 15228,241 woodhaven dr pittsburgh pa 15228,1,0
134 41st St,15201,40.470924,-79.96364,https://www.trulia.com/p/pa/pittsburgh/134-41st-st-pittsburgh-pa-15201--2014032234,34,18,Pittsburgh,PA,134 41st st pittsburgh pa 15201,134 41st st pittsburgh pa 15201,1,0
5507 Dunmoyle St,15217,40.44743,-79.931206,https://www.trulia.com/p/pa/pittsburgh/5507-dunmoyle-st-pittsburgh-pa-15217--2014150875,34,19,Pittsburgh,PA,5507 dunmoyle st pittsburgh pa 15217,5507 dunmoyle st pittsburgh pa 15217,1,0
1210 Ingham St,15212,40.46698,-80.02694,https://www.trulia.com/p/pa/pittsburgh/1210-ingham-st-pittsburgh-pa-15212--2014108571,34,20,Pittsburgh,PA,1210 ingham st pittsburgh pa 15212,1210 ingham st pittsburgh pa 15212,1,0
6913 Hilldale Dr,15236,40.318287,-79.99003,https://www.trulia.com/p/pa/pittsburgh/6913-hilldale-dr-pittsburgh-pa-15236--2014266154,34,21,Pittsburgh,PA,6913 hilldale dr pittsburgh pa 15236,6913 hilldale dr pittsburgh pa 15236,1,0
4830 Mooreridge Dr,15227,40.361694,-79.96962,https://www.trulia.com/p/pa/pittsburgh/4830-mooreridge-dr-pittsburgh-pa-15227--2014214429,34,22,Pittsburgh,PA,4830 mooreridge dr pittsburgh pa 15227,4830 mooreridge dr pittsburgh pa 15227,1,0
1938 Beechwood Blvd,15217,40.43708,-79.91011,https://www.trulia.com/p/pa/pittsburgh/1938-beechwood-blvd-pittsburgh-pa-15217--2014147860,34,23,Pittsburgh,PA,1938 beechwood blvd pittsburgh pa 15217,1938 beechwood blvd pittsburgh pa 15217,1,0
549 Springdale Dr,15235,40.471924,-79.823,https://www.trulia.com/p/pa/pittsburgh/549-springdale-dr-pittsburgh-pa-15235--2014251609,34,24,Pittsburgh,PA,549 springdale dr pittsburgh pa 15235,549 springdale dr pittsburgh pa 15235,1,0
1014 Osage Rd,15243,40.386726,-80.07055,https://www.trulia.com/p/pa/pittsburgh/1014-osage-rd-pittsburgh-pa-15243--2014306569,34,25,Pittsburgh,PA,1014 osage rd pittsburgh pa 15243,1014 osage rd pittsburgh pa 15243,1,0
260 42nd St #8,15201,40.46888,-79.95853,https://www.trulia.com/p/pa/pittsburgh/260-42nd-st-8-pittsburgh-pa-15201--2174503745,34,26,Pittsburgh,PA,260 42nd st 8 pittsburgh pa 15201,260 42nd st 8 pittsburgh pa 15201,1,0
197 Wible Run Rd,15209,40.505863,-79.969826,https://www.trulia.com/p/pa/pittsburgh/197-wible-run-rd-pittsburgh-pa-15209--1117072562,34,27,Pittsburgh,PA,197 wible run rd pittsburgh pa 15209,197 wible run rd pittsburgh pa 15209,1,0
110 Konzier Dr,15237,40.525166,-79.996,https://www.trulia.com/p/pa/pittsburgh/110-konzier-dr-pittsburgh-pa-15237--2014268254,34,28,Pittsburgh,PA,110 konzier dr pittsburgh pa 15237,110 konzier dr pittsburgh pa 15237,1,0
216 Park Square Ln,15238,40.48599,-79.88064,https://www.trulia.com/p/pa/pittsburgh/216-park-square-ln-pittsburgh-pa-15238--2014286840,34,29,Pittsburgh,PA,216 park square ln pittsburgh pa 15238,216 park square ln pittsburgh pa 15238,1,0
205 Richbarn Rd,15212,40.48691,-80.03621,https://www.trulia.com/p/pa/pittsburgh/205-richbarn-rd-pittsburgh-pa-15212--2014113548,35,0,Pittsburgh,PA,205 richbarn rd pittsburgh pa 15212,205 richbarn rd pittsburgh pa 15212,1,0
9362 Timber Trl,15237,40.57675,-80.06537,https://www.trulia.com/p/pa/pittsburgh/9362-timber-trl-pittsburgh-pa-15237--2014283468,35,1,Pittsburgh,PA,9362 timber trl pittsburgh pa 15237,9362 timber trl pittsburgh pa 15237,1,0
2613 Larkins Way,15203,40.426075,-79.968315,https://www.trulia.com/p/pa/pittsburgh/2613-larkins-way-pittsburgh-pa-15203--2014046208,35,2,Pittsburgh,PA,2613 larkins way pittsburgh pa 15203,2613 larkins way pittsburgh pa 15203,1,0
301 5th Ave #509,15222,40.441093,-79.99934,https://www.trulia.com/p/pa/pittsburgh/301-5th-ave-509-pittsburgh-pa-15222--2014189958,35,3,Pittsburgh,PA,301 5th ave 509 pittsburgh pa 15222,301 5th ave 509 pittsburgh pa 15222,1,0
3464 Ligonier St,15201,40.463226,-79.964676,https://www.trulia.com/p/pa/pittsburgh/3464-ligonier-st-pittsburgh-pa-15201--2014034291,35,4,Pittsburgh,PA,3464 ligonier st pittsburgh pa 15201,3464 ligonier st pittsburgh pa 15201,1,0
1629 Fallowfield Ave,15216,40.40968,-80.023415,https://www.trulia.com/p/pa/pittsburgh/1629-fallowfield-ave-pittsburgh-pa-15216--2014140513,35,5,Pittsburgh,PA,1629 fallowfield ave pittsburgh pa 15216,1629 fallowfield ave pittsburgh pa 15216,1,0
519 Peebles St,15221,40.44059,-79.89418,https://www.trulia.com/p/pa/pittsburgh/519-peebles-st-pittsburgh-pa-15221--2014184905,35,6,Pittsburgh,PA,519 peebles st pittsburgh pa 15221,519 peebles st pittsburgh pa 15221,1,0
453 Cedarville St,15224,40.45901,-79.9507,https://www.trulia.com/p/pa/pittsburgh/453-cedarville-st-pittsburgh-pa-15224--1118897122,35,7,Pittsburgh,PA,453 cedarville st pittsburgh pa 15224,453 cedarville st pittsburgh pa 15224,1,0
316 Crescent Garden Dr,15235,40.473564,-79.8056,https://www.trulia.com/p/pa/pittsburgh/316-crescent-garden-dr-pittsburgh-pa-15235--2270428752,35,8,Pittsburgh,PA,316 crescent garden dr pittsburgh pa 15235,316 crescent garden dr pittsburgh pa 15235,1,0
1033 Dallett Rd,15227,40.361633,-79.9784,https://www.trulia.com/p/pa/pittsburgh/1033-dallett-rd-pittsburgh-pa-15227--2014205468,35,9,Pittsburgh,PA,1033 dallett rd pittsburgh pa 15227,1033 dallett rd pittsburgh pa 15227,1,0
42 Elmhurst Rd,15220,40.409756,-80.054596,https://www.trulia.com/p/pa/pittsburgh/42-elmhurst-rd-pittsburgh-pa-15220--2014173394,35,10,Pittsburgh,PA,42 elmhurst rd pittsburgh pa 15220,42 elmhurst rd pittsburgh pa 15220,1,0
459 Marzolf Rd,15209,40.516422,-79.970695,https://www.trulia.com/p/pa/pittsburgh/459-marzolf-rd-pittsburgh-pa-15209--2014087586,35,11,Pittsburgh,PA,459 marzolf rd pittsburgh pa 15209,459 marzolf rd pittsburgh pa 15209,1,0
7012 Upland St,15208,40.46285,-79.89884,https://www.trulia.com/p/pa/pittsburgh/7012-upland-st-pittsburgh-pa-15208--2014079911,35,12,Pittsburgh,PA,7012 upland st pittsburgh pa 15208,7012 upland st pittsburgh pa 15208,1,0
225 Frankfort Ave,15229,40.51419,-80.02664,https://www.trulia.com/p/pa/pittsburgh/225-frankfort-ave-pittsburgh-pa-15229--2014225724,35,13,Pittsburgh,PA,225 frankfort ave pittsburgh pa 15229,225 frankfort ave pittsburgh pa 15229,1,0
7409 Park Ave,15218,40.41942,-79.888466,https://www.trulia.com/p/pa/pittsburgh/7409-park-ave-pittsburgh-pa-15218--2014159840,35,14,Pittsburgh,PA,7409 park ave pittsburgh pa 15218,7409 park ave pittsburgh pa 15218,1,0
705 Surfside Dr,15239,40.464493,-79.71943,https://www.trulia.com/p/pa/pittsburgh/705-surfside-dr-pittsburgh-pa-15239--2014297429,35,15,Pittsburgh,PA,705 surfside dr pittsburgh pa 15239,705 surfside dr pittsburgh pa 15239,1,0
1300 Washington Rd,15228,40.363205,-80.04751,https://www.trulia.com/p/pa/pittsburgh/1300-washington-rd-pittsburgh-pa-15228--2014217090,35,16,Pittsburgh,PA,1300 washington rd pittsburgh pa 15228,1300 washington rd pittsburgh pa 15228,1,0
212 Park Pl,15237,40.5175,-80.00025,https://www.trulia.com/p/pa/pittsburgh/212-park-pl-pittsburgh-pa-15237--2014273988,35,17,Pittsburgh,PA,212 park pl pittsburgh pa 15237,212 park pl pittsburgh pa 15237,1,0
104 Carlisle Dr,15223,40.515152,-79.95976,https://www.trulia.com/p/pa/pittsburgh/104-carlisle-dr-pittsburgh-pa-15223--2014191127,35,18,Pittsburgh,PA,104 carlisle dr pittsburgh pa 15223,104 carlisle dr pittsburgh pa 15223,1,0
311 11th St,15215,40.49636,-79.93135,https://www.trulia.com/p/pa/pittsburgh/311-11th-st-pittsburgh-pa-15215--2014134741,35,19,Pittsburgh,PA,311 11th st pittsburgh pa 15215,311 11th st pittsburgh pa 15215,1,0
970 Oranmore St,15201,40.477077,-79.93662,https://www.trulia.com/p/pa/pittsburgh/970-oranmore-st-pittsburgh-pa-15201--2014038018,35,20,Pittsburgh,PA,970 oranmore st pittsburgh pa 15201,970 oranmore st pittsburgh pa 15201,1,0
832 Chalmers Pl,15243,40.379498,-80.060486,https://www.trulia.com/p/pa/pittsburgh/832-chalmers-pl-pittsburgh-pa-15243--2014311087,35,21,Pittsburgh,PA,832 chalmers pl pittsburgh pa 15243,832 chalmers pl pittsburgh pa 15243,1,0
1316 Pennsbury Blvd,15205,40.42761,-80.10016,https://www.trulia.com/p/pa/pittsburgh/1316-pennsbury-blvd-pittsburgh-pa-15205--1143957015,35,22,Pittsburgh,PA,1316 pennsbury blvd pittsburgh pa 15205,1316 pennsbury blvd pittsburgh pa 15205,1,0
704 Surfside Dr,15239,40.46482,-79.71904,https://www.trulia.com/p/pa/pittsburgh/704-surfside-dr-pittsburgh-pa-15239--2014297417,35,23,Pittsburgh,PA,704 surfside dr pittsburgh pa 15239,704 surfside dr pittsburgh pa 15239,1,0
34 Edinburg Dr,15235,40.454655,-79.80475,https://www.trulia.com/p/pa/pittsburgh/34-edinburg-dr-pittsburgh-pa-15235--2014249334,35,24,Pittsburgh,PA,34 edinburg dr pittsburgh pa 15235,34 edinburg dr pittsburgh pa 15235,1,0
1320 Superior Ave,15212,40.46807,-80.03079,https://www.trulia.com/p/pa/pittsburgh/1320-superior-ave-pittsburgh-pa-15212--1005666512,35,25,Pittsburgh,PA,1320 superior ave pittsburgh pa 15212,1320 superior ave pittsburgh pa 15212,1,0
211 21st St,15215,40.494797,-79.915596,https://www.trulia.com/p/pa/pittsburgh/211-21st-st-pittsburgh-pa-15215--1117295806,35,26,Pittsburgh,PA,211 21st st pittsburgh pa 15215,211 21st st pittsburgh pa 15215,1,0
365 Fernhill Ave,15226,40.40116,-80.01569,https://www.trulia.com/p/pa/pittsburgh/365-fernhill-ave-pittsburgh-pa-15226--2014202996,35,27,Pittsburgh,PA,365 fernhill ave pittsburgh pa 15226,365 fernhill ave pittsburgh pa 15226,1,0
3121 Vernon Ave,15227,40.384384,-79.965775,https://www.trulia.com/p/pa/pittsburgh/3121-vernon-ave-pittsburgh-pa-15227--2014210541,35,28,Pittsburgh,PA,3121 vernon ave pittsburgh pa 15227,3121 vernon ave pittsburgh pa 15227,1,0
1246 Peermont Ave,15216,40.388493,-80.041306,https://www.trulia.com/p/pa/pittsburgh/1246-peermont-ave-pittsburgh-pa-15216--2014138060,35,29,Pittsburgh,PA,1246 peermont ave pittsburgh pa 15216,1246 peermont ave pittsburgh pa 15216,1,0
1511 Nash Ave,15235,40.493004,-79.79721,https://www.trulia.com/p/pa/pittsburgh/1511-nash-ave-pittsburgh-pa-15235--2014242716,36,0,Pittsburgh,PA,1511 nash ave pittsburgh pa 15235,1511 nash ave pittsburgh pa 15235,1,0
518 Nelbon Ave,15235,40.4565,-79.84487,https://www.trulia.com/p/pa/pittsburgh/518-nelbon-ave-pittsburgh-pa-15235--2014251378,36,1,Pittsburgh,PA,518 nelbon ave pittsburgh pa 15235,518 nelbon ave pittsburgh pa 15235,1,0
4044 Cabinet St,15224,40.46406,-79.95565,https://www.trulia.com/p/pa/pittsburgh/4044-cabinet-st-pittsburgh-pa-15224--1118632930,36,2,Pittsburgh,PA,4044 cabinet st pittsburgh pa 15224,4044 cabinet st pittsburgh pa 15224,1,0
209 Maxwell St,15205,40.440865,-80.07365,https://www.trulia.com/p/pa/pittsburgh/209-maxwell-st-pittsburgh-pa-15205--2014055968,36,3,Pittsburgh,PA,209 maxwell st pittsburgh pa 15205,209 maxwell st pittsburgh pa 15205,1,0
12 Dunlap St,15214,40.4863,-80.01546,https://www.trulia.com/p/pa/pittsburgh/12-dunlap-st-pittsburgh-pa-15214--2014125513,36,4,Pittsburgh,PA,12 dunlap st pittsburgh pa 15214,12 dunlap st pittsburgh pa 15214,1,0
1074 Devon Rd,15213,40.44577,-79.94055,https://www.trulia.com/p/pa/pittsburgh/1074-devon-rd-pittsburgh-pa-15213--2163146487,36,5,Pittsburgh,PA,1074 devon rd pittsburgh pa 15213,1074 devon rd pittsburgh pa 15213,1,0
721 Roselawn Ave #B6,15228,40.379093,-80.04412,https://www.trulia.com/p/pa/pittsburgh/721-roselawn-ave-b6-pittsburgh-pa-15228--2014221621,36,6,Pittsburgh,PA,721 roselawn ave b6 pittsburgh pa 15228,721 roselawn ave b6 pittsburgh pa 15228,1,0
4 Morgan Ave,15223,40.508945,-79.95094,https://www.trulia.com/p/pa/pittsburgh/4-morgan-ave-pittsburgh-pa-15223--2014193521,36,7,Pittsburgh,PA,4 morgan ave pittsburgh pa 15223,4 morgan ave pittsburgh pa 15223,1,0
425 Ruthwood Ave,15227,40.385944,-79.97383,https://www.trulia.com/p/pa/pittsburgh/425-ruthwood-ave-pittsburgh-pa-15227--2014213738,36,8,Pittsburgh,PA,425 ruthwood ave pittsburgh pa 15227,425 ruthwood ave pittsburgh pa 15227,1,0
2001 Thornberry Dr,15237,40.516327,-79.99246,https://www.trulia.com/p/pa/pittsburgh/2001-thornberry-dr-pittsburgh-pa-15237--2014273284,36,9,Pittsburgh,PA,2001 thornberry dr pittsburgh pa 15237,2001 thornberry dr pittsburgh pa 15237,1,0
118 Hilglor Dr,15209,40.502266,-79.978836,https://www.trulia.com/p/pa/pittsburgh/118-hilglor-dr-pittsburgh-pa-15209--2014084315,36,10,Pittsburgh,PA,118 hilglor dr pittsburgh pa 15209,118 hilglor dr pittsburgh pa 15209,1,0
2202 Lenox Oval,15237,40.54775,-80.01672,https://www.trulia.com/p/pa/pittsburgh/2202-lenox-oval-pittsburgh-pa-15237--1037586718,36,11,Pittsburgh,PA,2202 lenox oval pittsburgh pa 15237,2202 lenox oval pittsburgh pa 15237,1,0
113 Richmond Cir,15237,40.528564,-80.003914,https://www.trulia.com/p/pa/pittsburgh/113-richmond-cir-pittsburgh-pa-15237--2014268692,36,12,Pittsburgh,PA,113 richmond cir pittsburgh pa 15237,113 richmond cir pittsburgh pa 15237,1,0
328 Augusta St,15235,40.490467,-79.78765,https://www.trulia.com/p/pa/pittsburgh/328-augusta-st-pittsburgh-pa-15235--2350779885,36,13,Pittsburgh,PA,328 augusta st pittsburgh pa 15235,328 augusta st pittsburgh pa 15235,1,0
802 Semple Ave,15202,40.505497,-80.06461,https://www.trulia.com/p/pa/pittsburgh/802-semple-ave-pittsburgh-pa-15202--1119981834,36,14,Pittsburgh,PA,802 semple ave pittsburgh pa 15202,802 semple ave pittsburgh pa 15202,1,0
1 Pine Hill Drive Ext,15214,40.498653,-79.99869,https://www.trulia.com/p/pa/pittsburgh/1-pine-hill-drive-ext-pittsburgh-pa-15214--2014126471,36,15,Pittsburgh,PA,1 pine hill drive ext pittsburgh pa 15214,1 pine hill drive ext pittsburgh pa 15214,1,0
3235 Parkview Ave,15213,40.430466,-79.95337,https://www.trulia.com/p/pa/pittsburgh/3235-parkview-ave-pittsburgh-pa-15213--2014121664,36,16,Pittsburgh,PA,3235 parkview ave pittsburgh pa 15213,3235 parkview ave pittsburgh pa 15213,1,0
103 Pennwood Ave,15218,40.43298,-79.885376,https://www.trulia.com/p/pa/pittsburgh/103-pennwood-ave-pittsburgh-pa-15218--2014155391,36,17,Pittsburgh,PA,103 pennwood ave pittsburgh pa 15218,103 pennwood ave pittsburgh pa 15218,1,0
405 N Birmingham Ave,15202,40.502502,-80.06924,https://www.trulia.com/p/pa/pittsburgh/405-n-birmingham-ave-pittsburgh-pa-15202--1044340993,36,18,Pittsburgh,PA,405 n birmingham ave pittsburgh pa 15202,405 n birmingham ave pittsburgh pa 15202,1,0
2034 Eggers St,15212,40.468143,-79.97823,https://www.trulia.com/p/pa/pittsburgh/2034-eggers-st-pittsburgh-pa-15212--2014113451,36,19,Pittsburgh,PA,2034 eggers st pittsburgh pa 15212,2034 eggers st pittsburgh pa 15212,1,0
70 Amherst Ave,15229,40.519764,-80.046776,https://www.trulia.com/p/pa/pittsburgh/70-amherst-ave-pittsburgh-pa-15229--2014227724,36,20,Pittsburgh,PA,70 amherst ave pittsburgh pa 15229,70 amherst ave pittsburgh pa 15229,1,0
3036 Pyramid Ave,15227,40.382103,-79.97225,https://www.trulia.com/p/pa/pittsburgh/3036-pyramid-ave-pittsburgh-pa-15227--2014210210,36,21,Pittsburgh,PA,3036 pyramid ave pittsburgh pa 15227,3036 pyramid ave pittsburgh pa 15227,1,0
4006 Charlemagne Cir,15237,40.54454,-80.01709,https://www.trulia.com/p/pa/pittsburgh/4006-charlemagne-cir-pittsburgh-pa-15237--1118600821,36,22,Pittsburgh,PA,4006 charlemagne cir pittsburgh pa 15237,4006 charlemagne cir pittsburgh pa 15237,1,0
215 Ordale Blvd,15228,40.359352,-80.05033,https://www.trulia.com/p/pa/pittsburgh/215-ordale-blvd-pittsburgh-pa-15228--2014218213,36,23,Pittsburgh,PA,215 ordale blvd pittsburgh pa 15228,215 ordale blvd pittsburgh pa 15228,1,0
17 Penhurst Rd,15202,40.515682,-80.07502,https://www.trulia.com/p/pa/pittsburgh/17-penhurst-rd-pittsburgh-pa-15202--2014039205,36,24,Pittsburgh,PA,17 penhurst rd pittsburgh pa 15202,17 penhurst rd pittsburgh pa 15202,1,0
1051 Universal Rd,15235,40.46075,-79.80706,https://www.trulia.com/p/pa/pittsburgh/1051-universal-rd-pittsburgh-pa-15235--2014239152,36,25,Pittsburgh,PA,1051 universal rd pittsburgh pa 15235,1051 universal rd pittsburgh pa 15235,1,0
1358 Oakhill St,15212,40.472458,-80.03332,https://www.trulia.com/p/pa/pittsburgh/1358-oakhill-st-pittsburgh-pa-15212--2014110278,36,26,Pittsburgh,PA,1358 oakhill st pittsburgh pa 15212,1358 oakhill st pittsburgh pa 15212,1,0
320 Fort Duquesne Blvd #9H,15222,40.44227,-80.007095,https://www.trulia.com/p/pa/pittsburgh/320-fort-duquesne-blvd-9h-pittsburgh-pa-15222--2014190323,36,27,Pittsburgh,PA,320 fort duquesne blvd 9h pittsburgh pa 15222,320 fort duquesne blvd 9h pittsburgh pa 15222,1,0
4617 Torley St,15224,40.464737,-79.949165,https://www.trulia.com/p/pa/pittsburgh/4617-torley-st-pittsburgh-pa-15224--1049060781,36,28,Pittsburgh,PA,4617 torley st pittsburgh pa 15224,4617 torley st pittsburgh pa 15224,1,0
264 Trotwood West Dr,15241,40.35456,-80.07275,https://www.trulia.com/p/pa/pittsburgh/264-trotwood-west-dr-pittsburgh-pa-15241--1004961207,36,29,Pittsburgh,PA,264 trotwood west dr pittsburgh pa 15241,264 trotwood west dr pittsburgh pa 15241,1,0
3026 Meyeridge Rd,15209,40.51149,-79.96821,https://www.trulia.com/p/pa/pittsburgh/3026-meyeridge-rd-pittsburgh-pa-15209--2014086736,37,0,Pittsburgh,PA,3026 meyeridge rd pittsburgh pa 15209,3026 meyeridge rd pittsburgh pa 15209,1,0
1060 Pennsbury Blvd,15205,40.42929,-80.09945,https://www.trulia.com/p/pa/pittsburgh/1060-pennsbury-blvd-pittsburgh-pa-15205--2014051998,37,1,Pittsburgh,PA,1060 pennsbury blvd pittsburgh pa 15205,1060 pennsbury blvd pittsburgh pa 15205,1,0
115 Kearsarge St,15211,40.432835,-80.00991,https://www.trulia.com/p/pa/pittsburgh/115-kearsarge-st-pittsburgh-pa-15211--2014101796,37,2,Pittsburgh,PA,115 kearsarge st pittsburgh pa 15211,115 kearsarge st pittsburgh pa 15211,1,0
143 42nd St,15201,40.47149,-79.96222,https://www.trulia.com/p/pa/pittsburgh/143-42nd-st-pittsburgh-pa-15201--2014032385,37,3,Pittsburgh,PA,143 42nd st pittsburgh pa 15201,143 42nd st pittsburgh pa 15201,1,0
3411 Butler St,15201,40.463097,-79.967255,https://www.trulia.com/p/pa/pittsburgh/3411-butler-st-pittsburgh-pa-15201--2014034129,37,4,Pittsburgh,PA,3411 butler st pittsburgh pa 15201,3411 butler st pittsburgh pa 15201,1,0
4948 Glenwood Ave,15207,40.409348,-79.94044,https://www.trulia.com/p/pa/pittsburgh/4948-glenwood-ave-pittsburgh-pa-15207--2014075401,37,5,Pittsburgh,PA,4948 glenwood ave pittsburgh pa 15207,4948 glenwood ave pittsburgh pa 15207,1,0
12123 Garland Dr,15235,40.46854,-79.81879,https://www.trulia.com/p/pa/pittsburgh/12123-garland-dr-pittsburgh-pa-15235--2014240959,37,6,Pittsburgh,PA,12123 garland dr pittsburgh pa 15235,12123 garland dr pittsburgh pa 15235,1,0
